PowTotAct_Min,Inj1PosVolAct_Var,Inj1PrsAct_meanOfInjPhase,Inj1HopTmpAct_1stPCscore,Inj1HtgEd3Act_1stPCscore,ClpFceAct_1stPCscore,ClpPosAct_1stPCscore,OilTmp1Act_1stPCscore,mass
1147,469.224187568355,100.814699890472,-172.888003024785,-332.723620593377,-4.22705230607068,-147.622805106405,-120.657084207994,32.9238
-446,473.510332346581,112.745493421054,-172.443300335822,-86.5567996125611,105.993507900315,-131.597155860966,-157.938319253796,33.0345
-590,472.778844694004,112.415670317635,-170.212159541644,-96.2130649623397,108.484120587224,-131.595073212315,-154.210524179685,33.0334
-109,478.468606158244,122.271275219299,-171.3567428439,-89.2167657615173,-102.976482612382,-147.614971647225,-128.113753498622,33.21
1046,470.595227595987,100.26806140351,-169.466071094833,-330.600748035403,7.28006782614665,-147.626881794498,-120.463967750527,32.9144
-1120,474.090290264346,112.364842105264,-176.474764760087,-111.605994704738,123.693438888423,-147.650390886291,-157.938607202004,33.0417
-1273,478.413339448639,123.544394736843,-169.306527655941,-87.690379952576,-88.6726024019062,-136.997675093493,-131.841657986086,33.2223
1150,468.825450632868,100.309080043861,-172.731454070009,-198.323218445001,95.7826373791396,-147.624340129577,-105.74331969019,32.975
842,469.246040424669,100.490518640352,-171.628861264252,-207.75822974355,56.0217454640843,-147.632690650156,-113.633786977972,32.9617
-228,478.918357187356,123.229075657896,-167.72901585241,-91.9258710356185,-106.465951877912,-147.631378548378,-128.113592387478,33.1971
-334,479.303485654789,123.84970394737,-172.48918013046,-78.7199538220285,-97.9515987369007,-136.976017607287,-131.841928432568,33.2359
-781,479.41169056283,122.01741885965,-171.787034954205,-90.1258423137931,-128.836176868154,-136.983198972532,-131.841657986086,33.2371
-327,474.760984501525,112.205446271931,-175.376664648424,-96.2119316386832,108.86509406431,-131.587826166015,-154.210940418764,33.0264
